Repositório,Intervalo Criação e Última Atividade,Participantes PR,Caracteres Corpo PR,Revisões,Comentários PR,Arquivos Alterados,Linhas Adicionadas,Linhas Excluídas,APPROVED,CHANGES_REQUESTED,REVIEW_REQUIRED
florinpop17/app-ideas,2739.66,1.66,108.45,2,35,379,50346,366,0,0,0
flutter/flutter,7.8,2.05,961.95,105,108,310,4379,2330,95,0,4
freeCodeCamp/freeCodeCamp,45.86,3.17,361.17,208,72,10934,570484,48544,68,2,29
gatsbyjs/gatsby,167.2,1.96,501.4,111,14,693,16492,8642,64,0,32
getify/You-Dont-Know-JS,288.89,2.87,562.79,8,95,856,49879,158748,3,0,0
ggerganov/llama.cpp,30.24,2.85,649.03,277,468,274,17062,13013,89,0,11
gin-gonic/gin,589.73,1.33,1498.89,59,154,182,1272,586,51,0,49
github/gitignore,2419.07,1.38,279.09,23,51,368,3894,294,0,0,0
godotengine/godot,20.68,3.87,351.47,189,233,858,105697,41107,83,1,16
gohugoio/hugo,59.04,1.54,1046.96,19,77,303,4118,1424,0,1,0
golang/go,41.09,2.03,126.08,3,1078,172,2456,583,0,0,0
goldbergyoni/nodebestpractices,625.91,2.49,232.43,110,90,808,25007,15510,62,3,32
gothinkster/realworld,335.5,0.26,4206.28,4,393,299,51776,20035,0,0,0
grafana/grafana,3.26,1.79,757.35,107,56,691,12062,4392,85,0,15
h5bp/Front-end-Developer-Interview-Questions,574.38,1.4,1793.98,80,63,506,21644,15279,58,0,42
h5bp/html5-boilerplate,94.07,1.36,2539.04,73,60,251,99155,6351,65,3,30
hakimel/reveal.js,546.94,2.76,250.76,2,104,1188,154993,147638,0,0,0
home-assistant/core,11.49,2.7,1991.59,257,186,424,6935,2970,85,4,11
hoppscotch/hoppscotch,205.15,2.83,1015.02,264,51,913,49764,41357,33,1,66
huggingface/transformers,42.0,2.94,772.4,185,175,361,16321,2591,84,0,15
iluwatar/java-design-patterns,173.01,1.37,679.18,87,191,512,22280,1397,31,2,67
iptv-org/iptv,34.97,2.99,25.5,210,44,197,2253,2131,80,4,16
jackfrued/Python-100-Days,5014.28,1.64,155.9,1,88,172,16159,1423,0,0,0
jaywcjlove/awesome-mac,126.35,2.06,991.57,34,22,108,153,61,0,0,0
jlevy/the-art-of-command-line,4170.99,2.76,72.17,35,131,165,2551,715,6,0,0
josephmisiti/awesome-machine-learning,273.42,2.04,128.07,10,25,109,379,2002,0,0,100
jquery/jquery,153.29,1.73,1643.84,314,109,546,55009,70546,68,1,31
junegunn/fzf,267.07,1.45,1379.76,77,210,197,1726,726,4,0,0
justjavac/free-programming-books-zh_CN,6752.47,2.6,27.77,23,117,96,2474,2253,10,1,0
jwasham/coding-interview-university,94.17,1.87,101.28,8,103,295,16037,69866,0,0,0
kamranahmedse/developer-roadmap,78.51,2.4,104.39,46,40,659,653852,3575,26,2,71
kdn251/interviews,1974.78,2.14,49.63,58,124,1448,23371,1048,3,4,0
kelseyhightower/nocode,10956.95,2.71,40.78,103,135,122,887,792,0,0,0
keras-team/keras,28.29,3.97,515.24,223,153,320,9483,2113,81,0,0
krahets/hello-algo,39.21,1.98,598.74,198,109,3384,122602,5637,49,0,51
kubernetes/kubernetes,59.55,5.44,613.78,282,888,2082,42993,96003,20,0,0
labuladong/fucking-algorithm,3959.27,1.86,80.06,24,38,226,509082,495668,18,2,0
langchain-ai/langchain,7.35,3.14,170.4,59,130,584,8148,8019,0,0,0
laravel/laravel,13.61,2.71,240.25,9,182,3312,835970,5414,4,0,0
leonardomso/33-js-concepts,240.18,2.71,133.93,1,36,109,11886,5007,0,0,0
lodash/lodash,4018.96,2.48,221.48,27,63,1533,127410,29617,0,0,0
lydiahallie/javascript-questions,1431.48,2.89,110.11,112,60,277,41977,12632,57,4,38
macrozheng/mall,609.39,1.75,105.77,0,34,715,6827,45290,0,0,0
massgravel/Microsoft-Activation-Scripts,433.31,2.36,67.95,2,32,39,1149,1419,0,0,0
mermaid-js/mermaid,135.37,1.96,1664.03,124,281,764,34020,25581,19,4,0
microsoft/ML-For-Beginners,1200.98,1.63,1257.13,45,136,4597,4823382,105683,14,0,86
microsoft/PowerToys,119.37,2.61,835.16,213,158,512,8680,2390,92,2,6
microsoft/TypeScript,42.17,3.48,415.38,282,467,16341,1173284,299919,72,1,27
microsoft/Web-Dev-For-Beginners,1393.97,1.89,498.23,50,135,403,13893,7287,33,2,65
microsoft/playwright,13.71,2.02,104.13,116,181,379,9073,7366,69,0,28
microsoft/terminal,105.04,2.95,433.68,389,143,2723,592263,18413,69,4,23
microsoft/vscode,5.78,2.44,94.4,129,10,398,11632,7900,89,2,8
moby/moby,32.49,3.04,754.68,262,102,499,22446,3076,91,1,8
mrdoob/three.js,13.34,1.84,424.35,94,89,297,3753,4385,24,0,0
mtdvio/every-programmer-should-know,3819.32,2.27,81.32,26,112,98,251,95,0,0,0
mui/material-ui,49.57,3.23,596.45,167,140,1256,18932,18839,84,0,16
neovim/neovim,9.41,1.72,334.24,81,84,867,6811,17383,25,0,0
nestjs/nest,53.01,2.03,2561.65,8,135,202,5426,5622,0,0,0
netdata/netdata,19.98,1.71,672.76,89,40,507,6293,1618,49,0,50
nodejs/node,58.66,5.73,429.62,521,583,1888,29533,32310,72,7,0
nomic-ai/gpt4all,71.58,2.21,442.87,232,133,376,10197,6866,87,1,11
nvbn/thefuck,1713.37,2.55,241.6,135,142,1035,13529,3762,36,3,0
nvm-sh/nvm,1059.44,3.43,230.21,195,232,565,26749,6761,56,11,30
obsproject/obs-studio,136.69,3.22,1156.9,223,175,394,5168,1780,71,7,0
ocornut/imgui,208.98,2.64,455.03,2,299,453,36455,3177,0,0,0
ohmyzsh/ohmyzsh,53.67,2.08,848.74,113,150,240,4304,1982,61,3,0
ollama/ollama,41.33,2.28,120.3,179,51,527,37717,12114,75,0,0
openai/openai-cookbook,418.01,5.71,861.1,130,76,2555,537618,135842,56,2,36
openai/whisper,422.08,2.55,476.9,68,182,356,232409,220651,0,0,0
opencv/opencv,125.58,3.2,1089.88,270,147,880,59805,795972,79,2,0
ossu/computer-science,368.79,2.13,234.2,8,113,129,2110,316,0,0,0
oven-sh/bun,12.6,1.86,232.46,93,424,737,11222,6078,12,3,85
pallets/flask,155.96,1.82,1774.48,3,78,641,28886,22478,1,0,0
papers-we-love/papers-we-love,140.08,2.08,221.8,20,115,237,572,273,17,0,0
